season,week,def_team,epa_per_play_allowed,plays_allowed_per_game,rz_td_rate_allowed,home_def_adj,away_def_adj
2024,1,ARI,0.19135743,80.0,0.5714285969734192,-0.007211538461538462,0.007211538461538462
2024,2,ARI,-0.14423652,66.0,0.3333333432674408,-0.007211538461538462,0.007211538461538462
2024,1,ATL,-0.040555723,84.0,0.0,-0.012692307692307694,0.012692307692307694
2024,2,ATL,0.08863136,86.0,0.4000000059604645,-0.012692307692307694,0.012692307692307694
2024,1,BAL,0.12418382,70.0,0.6000000238418579,-0.014711538461538462,0.014711538461538462
2024,2,BAL,0.030142026,79.0,0.5,-0.014711538461538462,0.014711538461538462
2024,1,BUF,0.14116283,76.0,0.6000000238418579,-0.025576923076923077,0.025576923076923077
2024,2,BUF,-0.23552503,89.0,0.25,-0.025576923076923077,0.025576923076923077
2024,1,CAR,0.19670652,81.0,0.8333333134651184,-0.005817307692307692,0.005817307692307692
2024,2,CAR,0.05492127,80.0,0.75,-0.005817307692307692,0.005817307692307692
2024,1,CHI,-0.2782829,83.0,0.6666666865348816,-0.013509615384615386,0.013509615384615386
2024,2,CHI,-0.061328046,82.0,0.5,-0.013509615384615386,0.013509615384615386
2024,1,CIN,0.07777722,81.0,0.25,-0.008798076923076924,0.008798076923076924
2024,2,CIN,-0.0062131975,78.0,0.6666666865348816,-0.008798076923076924,0.008798076923076924
2024,1,CLE,-0.03779791,84.0,0.6666666865348816,-0.012836538461538462,0.012836538461538462
2024,2,CLE,-0.034532085,74.0,0.25,-0.012836538461538462,0.012836538461538462
2024,1,DAL,-0.24428348,98.0,1.0,-0.01764423076923077,0.01764423076923077
2024,2,DAL,0.33751637,72.0,0.8571428656578064,-0.01764423076923077,0.01764423076923077
2024,1,DEN,-0.047614582,85.0,0.75,-0.025288461538461537,0.025288461538461537
2024,2,DEN,-0.009450879,82.0,0.5,-0.025288461538461537,0.025288461538461537
2024,1,DET,0.052882057,93.0,0.4000000059604645,-0.030048076923076924,0.030048076923076924
2024,2,DET,-0.018734455,63.0,0.6666666865348816,-0.030048076923076924,0.030048076923076924
2024,1,GB,0.10358545,95.0,0.5714285969734192,-0.012884615384615385,0.012884615384615385
2024,2,GB,-0.09798983,69.0,0.5,-0.012884615384615385,0.012884615384615385
2024,1,HOU,0.09467651,59.0,0.800000011920929,-0.007067307692307692,0.007067307692307692
2024,2,HOU,-0.12987168,90.0,1.0,-0.007067307692307692,0.007067307692307692
2024,1,IND,0.12762077,96.0,1.0,-0.0047115384615384615,0.0047115384615384615
2024,2,IND,0.00093976886,83.0,0.3333333432674408,-0.0047115384615384615,0.0047115384615384615
2024,1,JAX,-0.0062852157,85.0,0.6666666865348816,-0.013846153846153845,0.013846153846153845
2024,2,JAX,0.04787104,88.0,0.3333333432674408,-0.013846153846153845,0.013846153846153845
2024,1,KC,0.020795846,95.0,0.4000000059604645,0.01966346153846154,-0.01966346153846154
2024,2,KC,0.0549321,81.0,0.5,0.01966346153846154,-0.01966346153846154
2024,1,LAC,-0.31249446,74.0,0.5,-0.006538461538461539,0.006538461538461539
2024,2,LAC,-0.38327795,65.0,0.0,-0.006538461538461539,0.006538461538461539
2024,1,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,2,LAR,0.0,60.0,0.55,-0.003942307692307692,0.003942307692307692
2024,1,LV,-0.12475146,77.0,0.5,-0.011442307692307693,0.011442307692307693
2024,2,LV,-0.03451303,88.0,0.6666666865348816,-0.011442307692307693,0.011442307692307693
2024,1,MIA,-0.041752074,72.0,0.6666666865348816,-0.025048076923076923,0.025048076923076923
2024,2,MIA,0.113315105,60.0,1.0,-0.025048076923076923,0.025048076923076923
2024,1,MIN,-0.2345987,89.0,0.0,-0.003605769230769231,0.003605769230769231
2024,2,MIN,-0.13305676,85.0,0.5,-0.003605769230769231,0.003605769230769231
2024,1,NE,-0.03840472,61.0,0.5,-0.006153846153846154,0.006153846153846154
2024,2,NE,0.06128624,87.0,0.5,-0.006153846153846154,0.006153846153846154
2024,1,NO,-0.37482166,78.0,0.5,0.003605769230769231,-0.003605769230769231
2024,2,NO,-0.0741754,87.0,0.25,0.003605769230769231,-0.003605769230769231
2024,1,NYG,0.09439463,67.0,1.0,0.0014423076923076922,-0.0014423076923076922
2024,2,NYG,0.13286123,89.0,0.0,0.0014423076923076922,-0.0014423076923076922
2024,1,NYJ,0.17390165,88.0,0.4000000059604645,-0.022307692307692306,0.022307692307692306
2024,2,NYJ,-0.06640231,80.0,0.4000000059604645,-0.022307692307692306,0.022307692307692306
2024,1,PHI,0.09159695,85.0,0.5,-0.008221153846153847,0.008221153846153847
2024,2,PHI,0.13955986,73.0,0.5,-0.008221153846153847,0.008221153846153847
2024,1,PIT,-0.2430109,69.0,0.5,-0.0031730769230769234,0.0031730769230769234
2024,2,PIT,-0.11996677,76.0,0.0,-0.0031730769230769234,0.0031730769230769234
2024,1,SEA,-0.13299543,93.0,0.1666666716337204,-0.0013461538461538463,0.0013461538461538463
2024,2,SEA,0.026519917,86.0,0.5,-0.0013461538461538463,0.0013461538461538463
2024,1,SF,-0.002621688,64.0,1.0,-0.011298076923076923,0.011298076923076923
2024,2,SF,-0.053516544,68.0,0.4000000059604645,-0.011298076923076923,0.011298076923076923
2024,1,TB,0.051665157,74.0,1.0,-0.008509615384615385,0.008509615384615385
2024,2,TB,-0.08158046,100.0,0.1428571492433548,-0.008509615384615385,0.008509615384615385
2024,1,TEN,-0.20120011,75.0,0.0,0.0016346153846153847,-0.0016346153846153847
2024,2,TEN,0.08654835,74.0,0.75,0.0016346153846153847,-0.0016346153846153847
2024,1,WAS,0.27295208,81.0,0.6666666865348816,-0.004759615384615385,0.004759615384615385
2024,2,WAS,0.08985503,68.0,1.0,-0.004759615384615385,0.004759615384615385
